property_name,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft (₹),price (₹ Lac),floor_cleaned
  Shop for Sale in Surat,Carpet Area,145.0,Resale,Ready to Move,Unfurnished,East,7500.0,21.0,5
1 BHK  House for Sale in Olpad Surat,Carpet Area,527.0,Resale,Ready to Move,Unfurnished,West,3035.0,20.0,5
2 BHK Apartment for Sale in Nana Varachha Surat,Super Area,1193.0,Resale,Ready to Move,Semi-Furnished,East,3269.0,39.0,4
2 BHK Apartment for Sale in Lambe Hanuman Road Surat,Carpet Area,1000.0,Resale,Ready to Move,Furnished,East,3077.0,40.0,3
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,1000.0,Resale,Ready to Move,Unfurnished,East,1600.0,16.0,1
3 BHK  House for Sale in Kamrej Surat,Super Area,1100.0,Resale,Ready to Move,Unfurnished,East,2455.0,27.0,2
  Shop for Sale in Adajan Surat,Carpet Area,222.0,Resale,Ready to Move,Unfurnished,East,10162.0,44.0,14
1 BHK Builder Floor for Sale in Olpad Surat,Super Area,756.0,Resale,Ready to Move,Unfurnished,East,1984.0,15.0,5
2 BHK Penthouse for Sale in L P Savani Surat,Carpet Area,1446.0,Resale,Ready to Move,Semi-Furnished,East,4006.0,39.9,4
2 BHK Apartment for Sale in Honey Park Surat,Carpet Area,950.0,Resale,Ready to Move,Semi-Furnished,East,3043.0,35.0,2
  Shop for Sale in VIP Road Surat,Carpet Area,180.0,Resale,Ready to Move,Unfurnished,East,12500.0,45.0,6
2 BHK Apartment for Sale in 503RIDDHI SIDDHI RESIDENCY Surat,Carpet Area,750.0,Resale,Ready to Move,Semi-Furnished,East,3333.0,35.0,5
2 BHK Apartment for Sale in vatika township Surat,Super Area,1025.0,Resale,Ready to Move,Furnished,East,4683.0,48.0,5
2 BHK Apartment for Sale in Rander Road Surat,Super Area,1100.0,Resale,Ready to Move,Unfurnished,East,3455.0,38.0,3
  Shop for Sale in Kadodara Surat,Super Area,150.0,Resale,Ready to Move,Unfurnished,East,5000.0,7.5,1
2 BHK Apartment for Sale in Kailash Nagar Surat,Carpet Area,1200.0,Resale,Ready to Move,Unfurnished,East,4700.0,30.0,8
2 BHK Builder Floor for Sale in devdhgam Surat,Carpet Area,734.0,Resale,Ready to Move,Furnished,East,2749.0,28.5,2
1 BHK Apartment for Sale in pavitra residency Surat,Carpet Area,440.0,Resale,Ready to Move,Semi-Furnished,East,3420.0,25.0,4
"2 BHK Apartment for Sale in Mangal pushp apartment,  L P SAVANI CIRCLE adajan Surat",Super Area,750.0,Resale,Ready to Move,Semi-Furnished,East,3200.0,24.0,2
1 BHK Apartment for Sale in Udhna Surat,Super Area,550.0,Resale,Ready to Move,Semi-Furnished,East,2318.0,12.8,4
  Office Space for Sale in Hirabag Surat,Carpet Area,110.0,Resale,Ready to Move,Unfurnished,East,7315.0,9.5,1
2 BHK Apartment for Sale in vraj vihar complex koli street adajan gam Surat,Carpet Area,800.0,Resale,Ready to Move,Semi-Furnished,East,2500.0,25.0,1
1 BHK Apartment for Sale in Adajan Surat,Super Area,722.0,Resale,Ready to Move,Unfurnished,East,2909.0,21.0,7
2 BHK  House for Sale in Velanja Surat,Carpet Area,720.0,New Property,Ready to Move,Unfurnished,East,4375.0,31.5,1
2 BHK Builder Floor for Sale in Jahangirabad Surat,Super Area,1100.0,Resale,Ready to Move,Semi-Furnished,East,3545.0,39.0,2
2 BHK  House for Sale in Dindoli Surat,Super Area,800.0,Resale,Ready to Move,Unfurnished,East,5750.0,46.0,1
1 BHK Builder Floor for Sale in Kim Surat,Super Area,750.0,Resale,Ready to Move,Semi-Furnished,East,800.0,6.0,4
2 BHK Builder Floor for Sale in Palanpur Surat,Super Area,1035.0,Resale,Ready to Move,Furnished,East,4251.0,44.0,2
2 BHK Apartment for Sale in Rustampura Surat,Carpet Area,945.0,Resale,Ready to Move,Unfurnished,South,2787.0,34.0,4
1 BHK Villa for Sale in Sayan Surat,Super Area,600.0,Resale,Ready to Move,Unfurnished,East,2667.0,16.0,5
2 BHK  House for Sale in Kadodara Surat,Carpet Area,1080.0,Resale,Ready to Move,Unfurnished,Main Road,4700.0,39.0,1
3 BHK  House for Sale in Navagam Surat,Carpet Area,1200.0,Resale,Ready to Move,Unfurnished,West,2160.0,27.0,3
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1200.0,Resale,Ready to Move,Unfurnished,East,2917.0,35.0,3
 Industrial Land for Sale in Surat City Surat,Built Area,1318.0,Resale,Ready to Move,Unfurnished,East,1669.0,22.0,5
1 BHK Apartment for Sale in Amroli Surat,Super Area,660.0,Resale,Ready to Move,Unfurnished,Main Road,3030.0,20.0,5
2 BHK Apartment for Sale in Amroli Surat,Carpet Area,580.0,Resale,Ready to Move,Furnished,East,2436.0,19.0,1
2 BHK Apartment for Sale in Pavitra residency Surat,Super Area,1165.0,Resale,Ready to Move,Unfurnished,East,2704.0,31.5,5
1 BHK Builder Floor for Sale in Bhestan Surat,Super Area,850.0,Resale,Ready to Move,Unfurnished,East,1000.0,8.5,1
2 BHK Builder Floor for Sale in Pasodara Surat,Super Area,861.0,Resale,Ready to Move,Unfurnished,East,1220.0,10.5,4
1 BHK  House for Sale in Velanja Surat,Super Area,440.0,Resale,Ready to Move,Unfurnished,East,2500.0,11.0,1
 Industrial Land for Sale in Palsana Surat,Built Area,1978.0,Resale,Ready to Move,Unfurnished,East,1618.0,32.0,5
2 BHK  House for Sale in Bardoli Surat,Super Area,1000.0,Resale,Ready to Move,Unfurnished,East,4500.0,45.0,5
1 BHK Builder Floor for Sale in Amroli Surat,Super Area,775.0,Resale,Ready to Move,Semi-Furnished,East,2129.0,16.5,2
3 BHK Apartment for Sale in Gopi Pura Surat,Super Area,1050.0,Resale,Ready to Move,Unfurnished,East,2857.0,30.0,3
2 BHK Apartment for Sale in Katar Gam Surat,Super Area,925.0,Resale,Ready to Move,Unfurnished,East,2378.0,22.0,3
1 BHK Apartment for Sale in Vesu Surat,Carpet Area,500.0,Resale,Ready to Move,Unfurnished,East,4700.0,16.0,4
  Plot/Land for Sale in Palan Pur Patiya Surat,Plot Area,945.0,Resale,Ready to Move,Unfurnished,East,4233.0,40.0,5
  Shop for Sale in Varacha Surat,Super Area,261.0,Resale,Ready to Move,Unfurnished,East,6513.0,17.0,3
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1170.0,New Property,Ready to Move,Unfurnished,East,3248.0,38.0,4
2 BHK Builder Floor for Sale in Jahangir Pura Surat,Carpet Area,1075.0,Resale,Ready to Move,Semi-Furnished,East,4700.0,31.5,1
1 BHK Apartment for Sale in Pandesara Surat,Super Area,650.0,Resale,Ready to Move,Unfurnished,East,2154.0,14.0,5
2 BHK  House for Sale in ashok vatika Surat,Carpet Area,490.0,Resale,Ready to Move,Unfurnished,East,3600.0,18.0,5
3 BHK  House for Sale in Bhatpore Surat,Carpet Area,797.0,Resale,Ready to Move,Unfurnished,East,4700.0,50.0,5
  Office Space for Sale in Amroli Surat,Super Area,456.0,Resale,Ready to Move,Unfurnished,East,3947.0,18.0,3
1 BHK Apartment for Sale in Marwadi and Gujarati Surat,Carpet Area,750.0,Resale,Ready to Move,Unfurnished,East,4700.0,20.0,2
  Office Space for Sale in Nanpura Surat,Super Area,525.0,Resale,Ready to Move,Unfurnished,East,6667.0,35.0,5
3 BHK  House for Sale in Palsana Surat,Super Area,2000.0,Resale,Ready to Move,Unfurnished,East,1675.0,33.5,1
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1120.0,Resale,Ready to Move,Furnished,East,4018.0,45.0,5
 Industrial Shed for Sale in Bhestan Surat,Super Area,1280.0,Resale,Ready to Move,Unfurnished,East,3906.0,50.0,5
  Plot/Land for Sale in Narthan Surat,Plot Area,1188.0,Resale,Ready to Move,Unfurnished,East,2778.0,33.0,5
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,970.0,Resale,Ready to Move,Semi-Furnished,East,3093.0,30.0,3
1 BHK Apartment for Sale in Minaxi Wadi Surat,Super Area,750.0,Resale,Ready to Move,Semi-Furnished,East,2933.0,22.0,3
  Shop for Sale in VIP Road Surat,Super Area,380.0,Resale,Ready to Move,Unfurnished,East,6579.0,25.0,1
2 BHK  House for Sale in Kamrej Surat,Super Area,90.0,Resale,Ready to Move,Unfurnished,East,5556.0,45.0,5
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,650.0,New Property,Ready to Move,Unfurnished,East,3051.0,36.0,8
1 BHK Apartment for Sale in Surat,Super Area,750.0,Resale,Ready to Move,Unfurnished,Garden/Park,2735.0,20.5,6
2 BHK Builder Floor for Sale in Rander Road Surat,Super Area,950.0,Resale,Ready to Move,Semi-Furnished,East,2947.0,28.0,1
"2 BHK Apartment for Sale in Kosad, Surat Surat",Super Area,1065.0,Resale,Ready to Move,Unfurnished,East,2347.0,25.0,2
  Shop for Sale in Singanpor Surat,Carpet Area,130.0,Resale,Ready to Move,Unfurnished,East,26923.0,35.0,3
2 BHK Builder Floor for Sale in Jolva Surat,Super Area,648.0,Resale,Ready to Move,Unfurnished,East,3086.0,20.0,1
2 BHK  House for Sale in Kim Surat,Super Area,480.0,Resale,Ready to Move,Unfurnished,East,2812.0,13.5,1
1 BHK Apartment for Sale in Surat City Surat,Carpet Area,410.0,Resale,Ready to Move,Furnished,East,2857.0,20.0,3
  Office Space for Sale in Begampura Surat,Super Area,403.0,Resale,Ready to Move,Unfurnished,East,6203.0,25.0,7
2 BHK Apartment for Sale in Dindoli Surat,Super Area,925.0,Resale,Ready to Move,Unfurnished,East,2347.0,21.7,5
"2 BHK Apartment for Sale in Devghat, Surat Surat",Super Area,1225.0,Resale,Ready to Move,Unfurnished,East,2449.0,30.0,1
2 BHK Apartment for Sale in Vrundavan Residency Nr Avirbhav Society Surat,Super Area,862.0,Resale,Ready to Move,Semi-Furnished,East,3191.0,27.5,4
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,600.0,Resale,Ready to Move,Unfurnished,East,4500.0,27.0,1
2 BHK Apartment for Sale in Umra Surat,Super Area,1200.0,Resale,Ready to Move,Unfurnished,East,3917.0,47.0,2
  Shop for Sale in Sayan Surat,Carpet Area,195.0,Resale,Ready to Move,Unfurnished,East,4416.0,17.0,5
  Shop for Sale in Chauta Bazar Surat,Carpet Area,110.0,Resale,Ready to Move,Unfurnished,East,31818.0,35.0,4
1 BHK Apartment for Sale in Thane Dombivali Surat,Carpet Area,405.0,Resale,Ready to Move,Unfurnished,East,4700.0,33.0,5
  Plot/Land for Sale in Dindoli Surat,Plot Area,420.0,Resale,Ready to Move,Unfurnished,East,2857.0,12.0,5
2 BHK Apartment for Sale in Raj Sambhav Apparent Surat,Super Area,1400.0,Resale,Ready to Move,Furnished,East,3571.0,50.0,2
  Shop for Sale in Mota Varachha Surat,Super Area,260.0,Resale,Ready to Move,Unfurnished,East,14615.0,38.0,5
  Shop for Sale in Pal Surat,Super Area,496.0,Resale,Ready to Move,Unfurnished,East,5444.0,27.0,1
1 BHK Apartment for Sale in Pal Gam Surat,Super Area,700.0,Resale,Ready to Move,Unfurnished,East,2714.0,19.0,5
  Plot/Land for Sale in nilkant nagar near aspas dada temple godadra surat Surat,Plot Area,420.0,Resale,Ready to Move,Unfurnished,East,4762.0,20.0,5
1 BHK Apartment for Sale in suman ashish Surat,Carpet Area,3.0,Resale,Ready to Move,Unfurnished,East,3429.0,12.0,2
  Plot/Land for Sale in Olpad Sayan Road Surat,Plot Area,1413.0,Resale,Ready to Move,Unfurnished,East,1699.0,24.0,5
  Shop for Sale in Uttran Surat,Super Area,500.0,Resale,Ready to Move,Unfurnished,East,6400.0,32.0,5
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,650.0,Resale,Ready to Move,Unfurnished,East,2000.0,13.0,3
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1150.0,Resale,Ready to Move,Semi-Furnished,East,2174.0,25.0,4
2 BHK Apartment for Sale in Sonifaliya Surat,Super Area,850.0,Resale,Ready to Move,Semi-Furnished,East,2588.0,22.0,4
2 BHK Builder Floor for Sale in Sachin Surat,Super Area,900.0,Resale,Ready to Move,Semi-Furnished,East,1444.0,13.0,3
2 BHK Apartment for Sale in Udhna Surat,Super Area,910.0,Resale,Ready to Move,Furnished,East,2747.0,25.0,3
  Shop for Sale in Kadodara Surat,Super Area,180.0,Resale,Ready to Move,Unfurnished,East,10000.0,18.0,5
2 BHK Apartment for Sale in Pandesara Surat,Super Area,800.0,Resale,Ready to Move,Unfurnished,East,3250.0,26.0,3
  Office Space for Sale in Bhatar Surat,Super Area,341.0,Resale,Ready to Move,Unfurnished,East,4106.0,14.0,2
  Plot/Land for Sale in Silver park plot no 1 Surat,Plot Area,2493.0,Resale,Ready to Move,Unfurnished,East,309.0,7.7,3
  Office Space for Sale in Nanpura Surat,Super Area,600.0,Resale,Ready to Move,Unfurnished,East,4167.0,25.0,4
  Shop for Sale in Olpad Surat,Super Area,250.0,Resale,Ready to Move,Unfurnished,East,6000.0,15.0,1
  Shop for Sale in Varachha Surat,Super Area,200.0,Resale,Ready to Move,Unfurnished,East,10000.0,20.0,2
  Plot/Land for Sale in Palsana Surat,Plot Area,648.0,Resale,Ready to Move,Unfurnished,East,3086.0,20.0,3
  Plot/Land for Sale in Narthan Surat,Plot Area,882.0,Resale,Ready to Move,Unfurnished,East,1701.0,15.0,5
  Office Space for Sale in VIP Road Surat,Super Area,600.0,Resale,Ready to Move,Unfurnished,East,6667.0,40.0,3
1 BHK Builder Floor for Sale in Kadodar Surat,Super Area,490.0,Resale,Ready to Move,Unfurnished,East,1735.0,8.5,4
1 BHK Builder Floor for Sale in Kamrej Surat,Super Area,400.0,Resale,Ready to Move,Semi-Furnished,East,2500.0,10.0,4
2 BHK Apartment for Sale in Adajan Surat,Super Area,960.0,Resale,Ready to Move,Unfurnished,East,4167.0,40.0,5
 Industrial Shed for Sale in Patel Nagar Surat,Super Area,525.0,Resale,Ready to Move,Unfurnished,East,2857.0,15.0,5
2 BHK Apartment for Sale in Palanpur Gam Surat,Super Area,1200.0,Resale,Ready to Move,Unfurnished,North,3750.0,45.0,4
  Plot/Land for Sale in Masma Village Surat,Plot Area,1647.0,Resale,Ready to Move,Unfurnished,East,2125.0,35.0,5
"2 BHK Apartment for Sale in pragati nagar, Piplod Surat",Super Area,1040.0,Resale,Ready to Move,Semi-Furnished,East,3846.0,40.0,1
  Shop for Sale in Pasodara Surat,Super Area,132.0,Resale,Ready to Move,Unfurnished,East,25000.0,33.0,5
  Plot/Land for Sale in Kim Surat,Plot Area,650.0,Resale,Ready to Move,Unfurnished,East,1846.0,12.0,3
2 BHK Apartment for Sale in Adajan Surat,Super Area,1150.0,Resale,Ready to Move,Unfurnished,East,3896.0,44.8,2
"2 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",Carpet Area,660.0,Resale,Ready to Move,Furnished,East,3932.0,46.0,4
3 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,1400.0,Resale,Ready to Move,Semi-Furnished,East,1786.0,25.0,2
3 BHK  House for Sale in Ganeshpura Surat,Super Area,1296.0,Resale,Ready to Move,Semi-Furnished,East,3086.0,40.0,3
2 BHK Apartment for Sale in Nanpura Surat,Carpet Area,1008.0,Resale,Ready to Move,Furnished,East,4700.0,36.0,5
